Track,Artist,Popularity,Genres,Lyrics,Sentiment
i like the way you kiss me,Artemas,81,[],"20 ContributorsTranslationsEnglishРусскийNorsk (bokmål / riksmål)EspañolDeutsch​i like the way you kiss me Lyrics[Intro]
I like the way you kiss me
I like the way you, uh

[Chorus]
I like the way you kiss me, I can tell you miss me
I can tell it hits, hits, hits, hits
Not tryna be romantic, I'll hit it from the back
Just so you don't get attached ('Tached, 'tached, 'tached)
I like the way you kiss me, I can tell you miss me
I can tell it hits, hits, hits, hits
Not tryna be romantic, I'll hit it from the back
Just so you don't get attached ('Tached, 'tached, 'tached)

[Verse 1]
You bite my lip just for the taste
You're on your knees, I'm on the case
You take the heat and with such grace
You say we'rе done, but here you stay
Said you'rе scared I'll let you down (I'll let you down)
Stick around and you'll find out (And you'll find out)
But don't you wanna make me proud? (Don't you wanna make me proud?)
'Cause I'm so proud, baby, I'm so proud of you

[Chorus]
I like the way you kiss me, I can tell you miss me
I can tell it hits, hits, hits, hits
Not tryna be romantic, I'll hit it from the back
Just so you don't get attached ('Tached, 'tached, 'tached)
I like the way you kiss me, I can tell you miss me
I can tell it hits, hits, hits, hits
Not tryna be romantic, I'll hit it from the back
Just so you don't get attached ('Tached, 'tached, 'tached)
You might also like[Verse 2]
Do I stress you out? Can I help you out?
Does it turn you on when I turn you 'round?
Can we make a scene? (Scene) Can we make it loud? (Loud)
'Cause I'm so proud, baby, I'm so proud of you

[Break]
(So proud of you)
(Mm, so proud of you)

[Chorus]
I like the way you kiss me, I can tell you miss me
I can tell it hits, hits, hits, hits
Not tryna be romantic, I'll hit it from the back
Just so you don't get attached ('Tached, 'tached, 'tached)
I like the way you kiss me, I can tell you miss me
I can tell it hits, hits, hits, hits
Not tryna be romantic, I'll hit it from the back
Just so you don't get attached ('Tached, 'tached, 'tached)

[Outro]
I like the way you kiss me
I like the way you, uh2Embed",0.2341880341880342
Too Sweet,Hozier,85,"['irish singer-songwriter', 'modern rock', 'pov: indie']","81 ContributorsTranslationsEspañolDanskDeutschNorsk (bokmål / riksmål)PortuguêsFrançaisTürkçeToo Sweet Lyrics[Verse 1]
It can't be said I'm an early bird
It's 10 o'clock before I say a word
Baby, I can never tell
How do you sleep so well?
You keep tellin' me to live right
To go to bed before the daylight
But then you wake up for the sunrise
You know you don't gotta pretend
Baby, now and then

[Pre-Chorus]
Don't you just wanna wake up
Dark as a lake
Smellin' like a bonfire
Lost in a haze?
If you're drunk on life, babe
I think it's great
But while in this world

[Chorus]
I think I'll take my whiskey neat
My coffee black and my bed at three
You're too sweet for me
You're too sweet for me
I take my whiskеy neat
My coffee black and my bed at three
You're too sweet for mе
You're too sweet for me
See Hozier LiveGet tickets as low as $46You might also like[Non-Lyrical Vocals]

[Verse 2]
I aim low
I aim true, and the ground's where I go
I work late where I'm free from the phone
And the job gets done
But you worry some, I know
But who wants to live forever, babe?
You treat your mouth as if it's Heaven's gate
The rest of you like you're the TSA
I wish I could go along
Babe, don't get me wrong

[Pre-Chorus]
You know you're bright as the morning
As soft as the rain
Pretty as a vine
As sweet as a grape
If you can sit in a barrel
Maybe I'll wait
Until that day
[Chorus]
I'd rather take my whiskey neat
My coffee black and my bed at three
You're too sweet for me
You're too sweet for me
I take my whiskey neat
My coffee black and my bed at three
You're too sweet for me
You're too sweet for me
[Non-Lyrical Vocals]

[Outro]
I take my whiskey neat
My coffee black and my bed at three
You're too sweet for me
You're too sweet for me5Embed",0.15809141838553598
Gata Only,FloyyMenor,78,['reggaeton chileno'],"5 ContributorsTranslationsDeutschEnglishGata Only Lyrics[Letra de ""Gata Only""]

[Intro: Cris Mj]
Ey

[Refrán: Cris Mj & FloyyMenor]
Mami, te siento lejo', dime dónde está'
Te quiero chingar, te voy a raptar
Déjate llevar, apaga el celular
Que si está' conmigo no te va a pasar na'
Solo déjate llevar
Nena, atenta a la jugá'
Si yo quiero contigo y tú quiere' conmigo
Dime si se da, brr

[Coro: FloyyMenor]
Ba-Ba-Baby, dale, ponte pa' mí, follow me
Tú ere', like, for me y yo 'toy pa' ti
Gata, tú está' only, mándame tu ubi
Mueve los cachete' al ritmo del TikTok
Conmigo esa gata se escapó y еn su casa nadie lo notó
E' que conmigo la baby esta nochе la pasó cabrón
Gata, pon el celu en modo avión
Tú mi loca y yo tu locotrón
Tú te pone' pa' mí y yo por ti me tiro to'a la misión
You might also like[Refrán: FloyyMenor & Cris Mj]
Mami, te siento lejo', dime dónde está' (Ah-ah)
Te quiero chingar, te voy a raptar
Déjate llevar y apaga el celular
Que si está' conmigo no te va a pasar na'
Solo déjate llevar
Nena, atenta a la jugá'
Si yo quiero contigo y tú quiere' conmigo (Mj)
(Dime si se da)

[Coro: Cris Mj]
Ba-Ba-Baby, dale, ponte pa' mí, follow me
Tú ere', like, for me, yo tu Brad Pitt
Gata, tú está' only, mándame tu ubi
Muévelo, cabecea al ritmo del TikTok
Conmigo esa gata se escapó
El que la rompe soy yo
Me la robo de menor

[Verso: Cris Mj]
Otra noche dándote (Eh), dándote (Eh)
Tocándote (Eh), calentándote
Encima viniéndote (Okey)
Al oído gimiéndome (Ja)
Y yo la sigo enamorando, regalando, to' el día comprando
Lo que uste', mamita, quiere
Ahora nos 'tamo alejando, no te estoy viendo, los día' volando
Estar sola tú prefiere'
Ven y dame un chance pa' guayarte
Allá abajo mojarte toa' las parte'
Otra noche dándote, dándote
Tocándote, calentándote
[Coro: Cris Mj]
Baby, dale, ponte pa' mí, follow me (Brr)
Tú ere', like, for me, yo tu Brad Pitt
Gata, tú está' only, mándame tu ubi
Muévelo, cabecea al ritmo del TikTok
Conmigo esa gata se escapó
El que la rompe soy yo
Me la robo de menor

[Outro: FloyyMenor & Cris Mj]
Ey
(Ah-ah-ah-ah-ah-ah-ah)
Ya tú sabe' quiéne', ya tú sabe' quiénes somo' (Ey)
(Ah-ah-ah-ah-ah-ah-ah-ah-ah) FloyyMenor
Cris Mj ""El Más Que Suena""
(Ah-ah-ah, ah-ah-ah)
FloyyMenor
'Tamo matando, brr, ja
(Mami, te siento lejo', dime dónde estás
Te quiero chingar, te voy a raptar
Déjate llevar, apaga el celular
Que si estás conmigo no te va a pasar na')
Tú y yo en La Serena
Por la Avenida del Mar
(Si yo quiero contigo y tú quiere' conmigo
Dime si se da)
Tra, tra, tra, tra, tra, tra, tra, tra
Jaja
Muah
Pa' que sepa'Embed",0.0
End of Beginning,Djo,79,"['pov: indie', 'psychedelic pop']","33 ContributorsTranslationsPortuguêsEspañolItalianoDeutschالعربيةBahasa IndonesiaNorsk (bokmål / riksmål)End of Beginning Lyrics[Verse 1]
Just one more tear to cry, one teardrop from my eye
You better save it for
The middle of the night when things aren't black and white
Enter, Troubadour
""Remember twenty-four?""

[Chorus]
And when I'm back in Chicago, I feel it
Another version of me, I was in it
I wave goodbye to the end of beginning

[Verse 2]
This song has started now, and you're just finding out
Now isn't that a laugh?
A major sacrifice, but clueless at the time
Enter, Caroline
""Just trust me, you'll be fine""

[Chorus]
And when I'm back in Chicago, I feel it
Another version of me, I was in it
I wave goodbye to the end of beginning
(Goodbye, goodbye, goodbye, goodbye)

[Bridge]
You take the man out of the city, not the city out the man
You take the man out of the city, not the city out the man
You take the man out of the city, not the city out the man
You take the man out of the—
You might also like[Chorus]
And when I'm back in Chicago, I feel it
Another version of me, I was in it
Oh, I wave goodbye to the end of beginning
(Goodbye, goodbye)3Embed",0.1465909090909091
Beautiful Things,Benson Boone,85,['singer-songwriter pop'],"34 ContributorsTranslationsDeutschPortuguêsEspañolNorsk (bokmål / riksmål)FrançaisBeautiful Things Lyrics[Verse 1]
For a while there, it was rough
But lately, I've been doin' better
Than the last four cold Decembers I recall
And I see my family every month
I found a girl my parents love
She'll come and stay the night, and I think I might have it all
And I thank God every day
For the girl He sent my way
But I know the things He gives me, He can take away
And I hold you every night
And that's a feeling I wanna get used to
But there's no man as terrified as the man who stands to lose you

[Pre-Chorus]
Oh, I hope I don't losе you
Mm, please stay
I want you, I need you, oh God
Don't take
Thеse beautiful things that I've got

[Chorus]
Please stay
I want you, I need you, oh, God
Don't take
These beautiful things that I've got
See Benson Boone LiveGet tickets as low as $82You might also like[Post-Chorus]
Oh, ooh
Please don't take

[Verse 2]
I found my mind, I'm feelin' sane
It's been a while, but I'm finding my faith
If everything's good and it's great, why do I sit and wait 'til it's gone?
Oh, I'll tell ya, I know I've got enough
I've got peace and I've got love
But I'm up at night thinkin' I just might lose it all

[Chorus]
Please stay
I want you, I need you, oh God
Don't take
These beautiful things that I've got

[Post-Chorus]
Oh, ooh

[Outro]
Please stay
I want you, I need you, oh God
I need
These beautiful things that I've got6Embed",0.36
we can't be friends (wait for your love),Ariana Grande,92,['pop'],"103 ContributorsTranslationsالعربيةБългарскиDanskDeutschEspañolHebrewItaliano한국어РусскийNorsk (bokmål / riksmål)ไทย / Phasa Thai日本語Bahasa IndonesiaPortuguêsMagyar​we can’t be friends (wait for your love) Lyrics[Verse 1]
I didn't think you'd understand me
How could you ever even try?
I don't wanna tiptoe, but I don't wanna hide
But I don't wanna feed this monstrous fire
Just wanna let this story die
And I'll be alright

[Chorus]
We can't be friends
But I'd like to just pretend
You cling to your papers and pens
Wait until you like me again

[Post-Chorus]
Wait for your love
Lo-love, I'll wait for your love

[Verse 2]
Me and my truth, we sit in silence
Mm
Baby girl, it's just me and you
'Cause I don't wanna argue, but I don't wanna bite
My tongue, yeah, I think I'd rather die
You got me misunderstood
But at least I look this good
You might also like[Chorus]
We can't be friends
But I'd like to just pretend
You cling to your papers and pens
Wait until you like me again

[Post-Chorus]
Wait for your love
Lo-love, I'll wait for your love
I'll wait for your love
Lo-love, I'll wait for your love

[Bridge]
Know that you made me
I don't like how you paint me, yet I'm still here hanging
Not what you made me
It's somethin' like a daydream
But I feel so seen in the night
So for now, it's only me
And maybe that's all I need

[Chorus]
We can't be friends
But I'd like to just pretend
You cling to your papers and pens
Wait until you like me again
[Post-Chorus]
Wait for your love
Lo-love, I'll wait for your love
I'll wait for your love
Lo-love, I'll wait for your love

[Outro]
I'll wait for your love
I'll wait for your love
I'll wait for your love
I'll wait for your love
I'll wait for your love9Embed",0.4388888888888889
greedy,Tate McRae,83,['pop'],"59 ContributorsTranslationsPortuguêsEspañolDeutschFrançaisItalianoNorsk (bokmål / riksmål)​greedy Lyrics[Intro]
(Woo)

[Verse 1]
He said, ""Are you serious? I've tried, but I can't figure out
I've been next to you all night and still don't know what you're about
You keep ta- (Ta-ta-), talkin', but not much comin' out your mouth
Can't you tell that I want you?"", I say, yeah
[Chorus]
I would want myself
Baby, please believe me
I'll put you through hell
Just to know me, yeah, yeah
So sure of yourself
Baby, don't get greedy
That shit won't end well
(No, it won't) End well

[Post-Chorus]
(Uh-uh, uh-uh-uh, uh-uh, woo)

[Verse 2]
I see you eyein' me down, but you'll never know much past my name
Or how I'm runnin' this room around and that I'm still half your age
Yeah, you're loo- (Loo-loo-), lookin' at me like I'm some sweet escape
Obvious that you want me, but I said
See Tate McRae LiveGet tickets as low as $26You might also like[Chorus]
I would want myself
Baby, please believe me
I'll put you through hell
Just to know me, yeah, yeah
So sure of yourself
Baby, don't get greedy
That shit won't end well
(No, it won't) End well

[Bridge]
He said, ""I'm just curious, is this for real or just an act?
Can't tell if you love or hate me, never met someone like that
Drive me so (So, so) crazy, did you know you got that effect?""
I said, ""Lemme check, yeah""
[Chorus]
I would want myself
Baby, please believe me
I'll put you through hell
Just to know me, yeah, yeah
So sure of yourself
Baby, don't get greedy
That shit won't end well
(No, it won't) End well
[Outro]
(I would want myself)
(I would want myself)
I would want myself
(I would want myself)
(I would want myself)
(Uh-uh, uh-uh-uh, uh)22Embed",-0.02777777777777778
Espresso,Sabrina Carpenter,81,['pop'],"54 ContributorsTranslationsСрпскиالعربيةFrançaisItalianoDeutschPortuguêsEspañolBahasa IndonesiaEspresso Lyrics[Chorus]
Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know
That's that me espresso
Move it up, down, left, right, oh
Switch it up like Nintendo
Say you can't sleep, baby, I know
That's that me espresso

[Verse 1]
I can't relate to desperation
My give-a-fucks are on vacation
And I got this one boy and he won't stop calling
When they act this way, I know I got 'em

[Pre-Chorus]
Too bad your ex don't do it for ya
Walked in and dream-came-trued it for ya
Soft skin and I perfumed it for ya (Yes)
I know I Mountain Dew it for ya (Yes)
That morning coffee, brewed it for ya (Yes)
One touch and I brand-newed it for ya

[Chorus]
And now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know
That's that me espresso
Move it up, down, left, right, oh
Switch it up like Nintendo
Say you can't sleep, baby, I know
That's that me espresso
See Sabrina Carpenter LiveGet tickets as low as $108You might also like[Post-Chorus]
Holy shit
Is it that sweet? I guess so

[Verse 2]
I'm working late 'cause I'm a singer
Oh, he looks so cute wrapped 'round my finger
My twisted humor make him laugh so often
My honeybee, come and get this pollen

[Pre-Chorus]
Too bad your ex don't do it for ya
Walked in and dream-came-trued it for ya
Soft skin and I perfumed it for ya (Yes)
I know I Mountain Dew it for ya (Yes)
That morning coffee, brewed it for ya (Yes)
One touch and I brand-newed it for ya (Stupid)

[Chorus]
Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know
That's that me espresso
Move it up, down, left, right, oh
Switch it up like Nintendo
Say you can't sleep, baby, I know
That's that me espresso (Yes)
Thinkin' 'bout me every night, oh
Is it that sweet? I guess so (Yes)
Say you can't sleep, baby, I know
That's that me espresso (Yes)
Move it up, down, left, right, oh (Move it up, down, left, right, oh)
Switch it up like Nintendo (Yes)
Say you can't sleep, baby, I know
That's that me espresso
[Outro]
Is it that sweet? I guess so
Mm, that's that me espresso12Embed",0.010630110630110635
Like That,Future,92,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']","405 ContributorsTranslationsPortuguêsEspañolРусскийTürkçeDeutschNorsk (bokmål / riksmål)Like That Lyrics[Intro: Future]
Gotta fire my joint up on this bitch
Young Metro, young Metro, young Metro, three times
Yeah

[Verse 1: Future]
Stickin' to the code, all these hoes for the streets
I put it in her nose, it's gon' make her pussy leak
Pussy niggas told, ain't gon' wake up out they sleep
You can't hear that switch, but you can hear them niggas scream
All my hoes do shrooms, nigga, all my hoes do coke
Twenty-carat ring, I put my fingers down her throat (Uh, uh, uh)
If I lose a carat, she might choke (Uh, uh, uh)
I know she gon' swallow, she a G.O.A.T. (Uh, uh, uh)
Freeband nigga, bring the racks in
Got the shooters in the corner like the pack in
She think 'cause she exotic bitch, she attractive
That's that shit'll get you put up out the section, brrt
And the motto still the same
Ball like I won a championship game
You know these hoes hungry, they gon' fuck for a name
I put her on the gang, she get fucked for a chain
Got your girl in this bitch, she twirlin' on the dick
I got syrup in this bitch, turn up in this bitch
And we brought the 'Ercs in this bitch, get murked in this bitch
All these pointers on me, baby, you know it's game time
Bring a friend, bitch, we fucked 'em at the same time
I'm a different nigga, no, we not the same kind
You can have that lil'— if she ain't mine (Yeah)
You might also like[Chorus: Future]
Young dope dealer, sellin' dope, is you like that? (If you like that)
Kickin' doors, kickin' in doors, is you like that? (Yeah)
Young throwed nigga, sellin' loads, is you like that? (Yeah)
All '24, you on go, is you like that? (If you like that)
Niggas from the bottom really like that (If you like that)
Steppin' in Balencis if you like that (If you like that)
Pop another bottle if you like that (If you like that)

[Post-Chorus: Michel'le]
He was once a thug from around the way

[Verse 2: Kendrick Lamar & Future]
These niggas talkin' out of they necks
Don't pull no coffin out of your mouth, I'm way too paranoid for a threat
Ayy-ayy, let's get it, bro
D-O-T, the money, power, respect
The last one is better
Say, it's a lot of goofies with a check
I mean, ah, I hope them sentiments symbolic
Ah, my temperament bipolar, I choose violence
Okay, let's get it up, it's time for him to prove that he's a problem
Niggas clickin' up, but cannot be legit, no 40 Water, tell 'em
Ah, yeah, huh, yeah, get up with me
Fuck sneak dissin', first-person shooter, I hope they came with three switches
I crash out like, ""Fuck rap,"" diss Melle Mel if I had to
Got 2TEEZ with me, I'm snatchin' chains and burnin' tattoos, it's up
Lost too many soldiers not to play it safe
If he walk around with that stick, it ain't André 3K
Think I won't drop the location? I still got PTSD
Motherfuck the big three, nigga, it's just big me
Nigga, bum
What? I'm really like that
And your best work is a light pack
Nigga, Prince outlived Mike Jack'
Nigga, bum
'Fore all your dogs gettin' buried
That's a K with all these nines, he gon' see Pet Sematary (Yeah)
Nigga, bum
[Chorus: Future & Kendrick Lamar]
Young dope dealer, sellin' dope, is you like that? (If you like that, yeah, yeah)
Kickin' doors, kickin' in doors, is you like that? (How?, yeah)
Young throwed nigga, sellin' loads, is you like that? (Holy water, Holy water, yeah)
All '24, you on go, is you like that? (If you like that)
Niggas from the bottom really like that (If you like that)
Steppin' in Balencis if you like that (If you like that)
Pop another bottle if you like that (If you like that)

[Post-Chorus: Michel'le]
He was once a thug from around the way

[Instrumental Break]

[Chorus: Future]
Young dope dealer, sellin' dope, is you like that?
Kickin' doors, kickin' in doors, is you like that?
Young throwed nigga, sellin' loads, is you like that?
All '24, you on go, is you like that? (If you like that)
Niggas from the bottom really like that (If you like that)
Steppin' in Balencis if you like that (If you like that)
Pop another bottle if you like that (If you like that)

[Post-Chorus: Michel'le]
He was once a thug, he was, he
[Outro: Future]
Came in banging dope, niggas was young, slangin' powder
Walk in the strip club, make it rain for three hours
Locked in and now I got my Phantom and my driver
Perc'd out, took chances in my hood like Nevada
Surfed out outside, white interior, lasagna
Hundred thousands, I just cashed out on designer
Gotta devour, nigga, I learned that in the jungle
Once I sell this load, that's a million in a week50Embed",0.06595804988662134
Lose Control,Teddy Swims,80,[],"25 ContributorsTranslationsEspañolDeutschNorsk (bokmål / riksmål)FrançaisLose Control Lyrics[Verse 1]
Something's got a hold of me lately
No, I don’t know myself anymore
Feels like the walls are all closin' in
And the devil's knockin’ at my door, woah
Out of my mind, how many times did I tell you
I'm no good at bein' alone?
Yeah, it's taken a toll on me, tryin' my best to keep
From tearin' the skin off my bones, don't you know

[Chorus]
I lose control
When you're not next to me
I’m fallin’ apart right in front of you, can't you see?
I lose control
When you’re not next to me, mhm
Yeah, you're breakin' my heart, baby
You make a mess of me

[Verse 2]
Problematic
The problem is I want your body like a fiend, like a bad habit
Bad habits hard to break when I'm with you
Yeah, I know I can do it on my own
But I want that real full-moon black magic and it takes two
Problematic
The problem is when I’m with you I'm an addict
And I need some relief, my skin and your teeth
Can't see the forest through the trees
Got me down on my knees, darlin', please, oh
See Teddy Swims LiveGet tickets as low as $63You might also like[Chorus]
I lose control
When you're not next to me
I'm fallin' apart right in front of you, can't you see?
I lose control
When you're not next to me (Mm-hmm)
Yeah, you're breakin' my heart, baby
You make a mess of me, yeah

[Instrumental Break]

[Chorus]
I lose control
When you're not here with me, mm
I'm fallin' apart right in front of you, can't you see?
I lose control
When you're not here with me, mhm
Yeah, you're breakin' my heart, baby
You make a mess of meEmbed",0.03992408557625951
